province,gender,income,vote_Liberal,vote_Conservative
British Columbia,Males,75000,0,1
Ontario,Females,200000,1,0
Ontario,Males,210000,0,0
Ontario,Females,50000,1,0
Alberta,Males,150000,0,1
Ontario,Males,75000,0,1
Alberta,Males,60000,1,0
Ontario,Males,100000,1,0
Nunavut,Males,22000,0,0
Ontario,Females,55000,0,0
Ontario,Females,45000,0,0
Newfoundland and Labrador,Females,90000,0,1
Quebec,Males,36500,0,1
Saskatchewan,Males,130000,0,1
Prince Edward Island,Males,74000,0,0
British Columbia,Males,91000,0,1
Alberta,Males,103000,0,1
Quebec,Males,100000,0,1
Ontario,Males,101000,1,0
Alberta,Males,29000,0,1
Ontario,Females,75000,0,1
Ontario,Females,55000,1,0
Ontario,Females,54000,0,0
Alberta,Females,165000,0,1
British Columbia,Females,125000,0,1
Quebec,Females,48000,1,0
British Columbia,Males,94000,1,0
Nova Scotia,Males,32000,1,0
Ontario,Females,38799,1,0
New Brunswick,Males,49000,1,0
Ontario,Females,120000,0,1
Ontario,Males,45000,0,0
Alberta,Males,39000,1,0
Ontario,Males,73000,1,0
British Columbia,Females,190000,1,0
Ontario,Males,81000,0,1
Ontario,Males,61000,0,0
Quebec,Females,280000,1,0
Ontario,Males,95000,0,1
Ontario,Males,76000,0,1
Nova Scotia,Males,149500,0,0
Ontario,Females,55000,1,0
Ontario,Males,42000,0,1
Ontario,Males,160000,1,0
Ontario,Females,95000,0,1
Ontario,Males,250000,0,1
Ontario,Males,52000,1,0
Ontario,Females,80000,0,1
Ontario,Females,65000,0,1
Nunavut,Females,49000,0,0
Ontario,Females,35600,1,0
Ontario,Females,54000,0,0
Ontario,Males,124000,0,1
Ontario,Males,41000,1,0
Ontario,Females,98000,1,0
Nova Scotia,Males,59000,0,0
Ontario,Males,65000,1,0
Ontario,Females,85900,0,1
Ontario,Females,74000,0,0
Ontario,Males,200000,1,0
Ontario,Males,145000,1,0
Ontario,Males,85000,1,0
Ontario,Females,99000,0,1
Ontario,Females,69000,1,0
Ontario,Males,95000,0,1
Ontario,Males,20000,0,0
Ontario,Males,50000,0,1
Ontario,Males,30000,0,0
Ontario,Males,125000,1,0
Ontario,Males,89000,0,1
Ontario,Females,69000,1,0
